Path 1 Selected Samples
x y z	Score	Sim	Pl	Rob
9 5 15	0.8117	0.6000	1.0000	0.8344
13 3 4	0.7708	0.5556	0.7500	1.0000
17 5 13	0.7708	0.5556	0.7500	1.0000
11 18 9	0.7525	0.6250	0.6250	1.0000
8 14 35	0.7063	0.3333	1.0000	0.7832
1 16 57	0.6990	0.4167	0.8889	0.7889
59 11 19	0.6984	0.3333	1.0000	0.7600
4 15 85	0.6971	0.4167	0.8889	0.7830
40 3 4	0.6929	0.4444	0.6250	1.0000
27 7 4	0.6929	0.4444	0.6250	1.0000
62 1 1	0.6929	0.4444	0.6250	1.0000
38 8 6	0.6929	0.4444	0.6250	1.0000
114 7 8	0.6929	0.4444	0.6250	1.0000
43 2 77	0.6901	0.2308	1.0000	0.8350
34 4 18	0.6899	0.3077	0.8889	0.8676
106 7 125	0.6869	0.2308	1.0000	0.8258
13 14 37	0.6802	0.3636	0.8750	0.7984
5 120 1	0.6795	0.1538	0.8750	1.0000
1 109 1	0.6795	0.1538	0.8750	1.0000
27 17 119	0.6794	0.2308	1.0000	0.8036
115 1 18	0.6766	0.3636	0.8750	0.7878
37 1 57	0.6743	0.2308	1.0000	0.7888
120 2 99	0.6741	0.2308	1.0000	0.7881
6 10 53	0.6734	0.4167	0.8889	0.7133
122 9 98	0.6733	0.2308	1.0000	0.7858
124 18 1	0.6700	0.5000	0.5000	1.0000
95 12 5	0.6700	0.5000	0.5000	1.0000
34 15 2	0.6700	0.5000	0.5000	1.0000
73 14 5	0.6700	0.5000	0.5000	1.0000
48 18 2	0.6700	0.5000	0.5000	1.0000
88 18 10	0.6700	0.5000	0.5000	1.0000
39 14 9	0.6700	0.5000	0.5000	1.0000
122 14 3	0.6700	0.5000	0.5000	1.0000
12 3 76	0.6688	0.3333	1.0000	0.6731
108 6 88	0.6670	0.2308	1.0000	0.7672
87 18 98	0.6641	0.2308	1.0000	0.7587
1 74 9	0.6627	0.1538	0.8750	0.9505
6 41 8	0.6627	0.1538	0.8750	0.9505
36 1 126	0.6626	0.2308	1.0000	0.7544
105 4 105	0.6608	0.2308	1.0000	0.7490
106 18 89	0.6580	0.2308	1.0000	0.7409
115 10 17	0.6577	0.3333	1.0000	0.6404
70 14 23	0.6566	0.2308	1.0000	0.7365
27 17 125	0.6564	0.2308	1.0000	0.7359
125 9 59	0.6534	0.2308	1.0000	0.7272
78 2 45	0.6522	0.2308	1.0000	0.7236
70 12 57	0.6475	0.2500	0.8750	0.8125
30 5 19	0.6468	0.3077	0.8889	0.7410
77 10 14	0.6463	0.5000	0.5000	0.9304
101 12 37	0.6462	0.2500	0.8750	0.8086
