Isolated Path 1
x y z	Score	Similarity	LengthDiff	Robustness	Q_value_normalized_complement
2 3 5	0.9774	1.0000	0.8000	1.0000	0.9940
3 1 7	0.9736	1.0000	0.8000	1.0000	0.9852
2 9 1	0.9727	1.0000	0.8000	1.0000	0.9829
5 6 2	0.9696	1.0000	0.8000	1.0000	0.9758
3 8 2	0.9691	1.0000	0.8000	1.0000	0.9746
2 6 5	0.9684	1.0000	0.8000	1.0000	0.9730
3 4 7	0.9647	1.0000	0.8000	1.0000	0.9644
6 6 9	0.9428	1.0000	0.8000	1.0000	0.9134
4 9 9	0.9399	1.0000	0.8000	1.0000	0.9066
1 12 3	0.9174	0.7778	1.0000	1.0000	0.9526
2 14 1	0.9135	0.7778	1.0000	1.0000	0.9436
3 13 3	0.9088	0.7778	1.0000	1.0000	0.9327
1 14 4	0.9068	0.7778	1.0000	1.0000	0.9281
2 10 6	0.8976	0.7778	1.0000	0.9308	0.9371
1 17 4	0.8955	0.7778	1.0000	1.0000	0.9016
7 16 1	0.8940	0.7778	1.0000	1.0000	0.8982
8 1 1	0.8939	0.7000	0.8889	0.9423	1.0000
5 15 6	0.8861	0.7778	1.0000	1.0000	0.8797
6 15 6	0.8828	0.7778	1.0000	1.0000	0.8722
7 14 8	0.8762	0.7778	1.0000	1.0000	0.8568
5 19 6	0.8720	0.7778	1.0000	1.0000	0.8471
2 7 11	0.8705	0.7000	0.8889	1.0000	0.9201
4 3 14	0.8664	0.7000	0.8889	1.0000	0.9104
2 6 4	0.8620	1.0000	0.8000	0.4231	0.9806
3 9 11	0.8613	0.7000	0.8889	1.0000	0.8987
8 5 9	0.8566	0.7000	0.8889	0.9538	0.9082
6 8 11	0.8550	0.7000	0.8889	1.0000	0.8839
6 7 13	0.8514	0.7000	0.8889	1.0000	0.8756
7 7 2	0.8447	1.0000	0.8000	0.3885	0.9557
5 2 16	0.8412	0.7000	0.8889	0.9036	0.8945
2 12 14	0.8324	0.6667	0.8750	1.0000	0.8564
8 3 10	0.8324	0.6000	1.0000	0.9000	0.9148
6 12 10	0.8271	0.6667	0.8750	0.9567	0.8632
7 12 13	0.8223	0.6667	0.8750	1.0000	0.8329
13 5 3	0.8176	0.5556	0.7500	1.0000	0.9235
9 2 15	0.8157	0.6000	1.0000	0.9020	0.8751
5 12 15	0.8134	0.6667	0.8750	0.9607	0.8296
11 11 3	0.8113	0.6250	0.6250	1.0000	0.8926
5 7 18	0.8112	0.6364	0.8000	1.0000	0.8443
11 5 8	0.8063	0.5556	0.7500	1.0000	0.8972
10 4 2	0.8050	0.5556	0.7500	0.8533	0.9588
18 2 5	0.8047	0.5556	0.7500	1.0000	0.8935
16 2 7	0.8038	0.5556	0.7500	1.0000	0.8914
6 12 17	0.8030	0.6000	1.0000	0.9904	0.8065
11 14 3	0.8016	0.6250	0.6250	1.0000	0.8700
15 2 9	0.8002	0.5556	0.7500	1.0000	0.8829
16 8 3	0.7999	0.5556	0.7500	1.0000	0.8821
18 9 1	0.7976	0.5556	0.7500	1.0000	0.8768
13 4 10	0.7971	0.5556	0.7500	1.0000	0.8757
15 9 4	0.7964	0.5556	0.7500	1.0000	0.8740
12 15 3	0.7956	0.6250	0.6250	1.0000	0.8561
14 5 9	0.7947	0.5556	0.7500	1.0000	0.8700
16 12 3	0.7943	0.6250	0.6250	1.0000	0.8531
10 13 1	0.7943	0.6250	0.6250	0.8929	0.9003
17 2 9	0.7941	0.5556	0.7500	1.0000	0.8688
15 4 10	0.7912	0.5556	0.7500	1.0000	0.8619
11 13 7	0.7910	0.6250	0.6250	1.0000	0.8455
15 9 6	0.7895	0.5556	0.7500	1.0000	0.8579
4 13 17	0.7886	0.6000	1.0000	0.9056	0.8107
16 13 4	0.7877	0.6250	0.6250	1.0000	0.8376
18 8 5	0.7871	0.5556	0.7500	1.0000	0.8524
13 11 9	0.7851	0.6250	0.6250	1.0000	0.8317
16 14 4	0.7844	0.6250	0.6250	1.0000	0.8300
15 16 3	0.7841	0.6250	0.6250	1.0000	0.8293
10 5 10	0.7824	0.5556	0.7500	0.8958	0.8875
11 13 10	0.7807	0.6250	0.6250	1.0000	0.8214
10 12 4	0.7803	0.6250	0.6250	0.8571	0.8835
14 10 8	0.7798	0.6250	0.6250	0.9514	0.8408
12 18 5	0.7790	0.6250	0.6250	1.0000	0.8174
12 15 8	0.7784	0.6250	0.6250	1.0000	0.8159
17 7 10	0.7765	0.5556	0.7500	1.0000	0.8278
6 9 19	0.7746	0.6364	0.8000	0.8754	0.8142
12 12 12	0.7743	0.6250	0.6250	1.0000	0.8065
14 6 14	0.7741	0.5556	0.7500	1.0000	0.8222
10 3 11	0.7740	0.5556	0.7500	0.8370	0.8941
18 17 3	0.7725	0.6250	0.6250	1.0000	0.8024
16 13 9	0.7704	0.6250	0.6250	1.0000	0.7974
16 16 7	0.7675	0.6250	0.6250	1.0000	0.7908
19 4 14	0.7656	0.5556	0.7500	1.0000	0.8025
10 9 12	0.7645	0.5556	0.7500	0.9057	0.8416
17 8 13	0.7629	0.5556	0.7500	1.0000	0.7962
6 11 18	0.7624	0.5455	0.8889	0.9164	0.8062
4 18 7	0.7606	0.7778	1.0000	0.3990	0.8535
1 2 24	0.7597	0.5000	0.8000	0.9027	0.8561
8 15 11	0.7583	0.5556	0.7500	0.9231	0.8194
17 12 13	0.7570	0.6250	0.6250	1.0000	0.7663
2 3 16	0.7552	0.7000	0.8889	0.4167	0.9095
19 3 17	0.7534	0.4545	1.0000	0.9911	0.7856
14 18 11	0.7527	0.6250	0.6250	1.0000	0.7563
13 6 15	0.7505	0.5556	0.7500	0.8799	0.8204
4 11 23	0.7500	0.4545	1.0000	0.9941	0.7764
1 11 22	0.7491	0.4545	1.0000	0.9301	0.8026
5 12 19	0.7486	0.5000	0.8000	0.9808	0.7958
18 3 15	0.7482	0.5556	0.7500	0.8950	0.8084
18 2 19	0.7453	0.4545	1.0000	0.9527	0.7837
13 14 15	0.7420	0.6250	0.6250	0.9343	0.7605
18 16 13	0.7412	0.6250	0.6250	1.0000	0.7296
15 19 13	0.7397	0.6250	0.6250	1.0000	0.7261
1 1 20	0.7391	0.4615	0.7273	0.7945	0.8982
19 19 10	0.7391	0.6250	0.6250	1.0000	0.7246
24 1 8	0.7360	0.4444	0.6250	1.0000	0.8350
11 2 17	0.7331	0.4167	0.8889	0.8610	0.8463
6 2 23	0.7329	0.4286	0.6667	0.9897	0.8329
32 3 1	0.7318	0.4444	0.6250	1.0000	0.8253
4 6 23	0.7312	0.4615	0.7273	0.9359	0.8174
11 14 16	0.7310	0.6250	0.6250	0.8637	0.7662
22 6 7	0.7305	0.4444	0.6250	1.0000	0.8223
20 11 2	0.7291	0.5000	0.5000	0.9333	0.8414
33 2 2	0.7285	0.4444	0.6250	1.0000	0.8175
11 6 18	0.7283	0.4167	0.8889	0.9209	0.8088
3 13 17	0.7275	0.5000	0.8000	0.8225	0.8168
24 13 1	0.7274	0.5000	0.5000	1.0000	0.8080
22 4 10	0.7263	0.4444	0.6250	1.0000	0.8126
7 8 28	0.7255	0.5000	0.8000	0.9856	0.7402
4 8 21	0.7248	0.4615	0.7273	0.9010	0.8179
21 14 4	0.7231	0.5000	0.5000	1.0000	0.7978
6 5 16	0.7227	0.7000	0.8889	0.3431	0.8665
17 5 16	0.7209	0.4545	1.0000	0.8008	0.7941
27 8 4	0.7206	0.4444	0.6250	1.0000	0.7992
20 5 10	0.7200	0.4444	0.6250	0.9500	0.8199
3 7 20	0.7198	0.4615	0.7273	0.8227	0.8406
4 4 24	0.7189	0.4286	0.6667	0.9352	0.8246
29 7 4	0.7179	0.4444	0.6250	1.0000	0.7929
17 1 17	0.7169	0.4545	1.0000	0.7359	0.8134
20 6 10	0.7139	0.4444	0.6250	0.9333	0.8131
10 19 10	0.7137	0.6250	0.6250	0.7331	0.7836
15 13 19	0.7123	0.5556	0.7500	0.8996	0.7228
26 6 9	0.7117	0.4444	0.6250	1.0000	0.7786
22 8 11	0.7114	0.4444	0.6250	1.0000	0.7777
1 7 30	0.7110	0.5000	0.8000	0.8463	0.7679
23 15 5	0.7108	0.5000	0.5000	1.0000	0.7694
35 6 2	0.7106	0.4444	0.6250	1.0000	0.7761
1 13 21	0.7104	0.3846	0.8000	0.9527	0.7947
25 15 4	0.7083	0.5000	0.5000	1.0000	0.7634
23 19 2	0.7081	0.5000	0.5000	1.0000	0.7629
7 4 24	0.7071	0.4286	0.6667	0.9186	0.8045
30 5 8	0.7068	0.4444	0.6250	1.0000	0.7671
29 5 9	0.7061	0.4444	0.6250	1.0000	0.7655
41 2 2	0.7055	0.4444	0.6250	1.0000	0.7642
27 14 4	0.7052	0.5000	0.5000	1.0000	0.7563
11 1 21	0.7047	0.3636	0.8750	0.8534	0.8215
30 10 2	0.7033	0.5000	0.5000	0.9333	0.7812
11 15 17	0.7030	0.4545	1.0000	0.8047	0.7509
22 12 11	0.7026	0.5000	0.5000	1.0000	0.7503
29 12 5	0.7021	0.5000	0.5000	1.0000	0.7490
29 3 12	0.7014	0.4444	0.6250	1.0000	0.7546
20 16 5	0.7010	0.5000	0.5000	0.9217	0.7812
36 6 4	0.7007	0.4444	0.6250	1.0000	0.7530
30 7 8	0.7007	0.4444	0.6250	1.0000	0.7529
31 14 2	0.7007	0.5000	0.5000	1.0000	0.7458
26 10 6	0.7006	0.5000	0.5000	0.9333	0.7751
25 12 9	0.7004	0.5000	0.5000	1.0000	0.7450
30 14 3	0.7001	0.5000	0.5000	1.0000	0.7444
18 12 18	0.6999	0.4167	0.8889	0.9744	0.7192
5 5 33	0.6990	0.4615	0.7273	0.9566	0.7333
9 2 6	0.6973	0.2222	0.3750	1.0000	0.9480
9 10 18	0.6970	0.4167	0.8889	0.7899	0.7939
26 17 5	0.6960	0.5000	0.5000	1.0000	0.7350
36 9 3	0.6951	0.4444	0.6250	1.0000	0.7399
32 7 8	0.6949	0.4444	0.6250	1.0000	0.7395
38 4 6	0.6939	0.4444	0.6250	1.0000	0.7370
37 3 8	0.6926	0.4444	0.6250	1.0000	0.7340
43 2 4	0.6925	0.4444	0.6250	1.0000	0.7339
41 4 4	0.6923	0.4444	0.6250	1.0000	0.7335
48 1 1	0.6920	0.4444	0.6250	1.0000	0.7328
7 15 27	0.6918	0.4545	1.0000	0.8804	0.6913
37 1 10	0.6913	0.4444	0.6250	1.0000	0.7311
32 15 3	0.6912	0.5000	0.5000	1.0000	0.7237
46 2 2	0.6912	0.4444	0.6250	1.0000	0.7308
40 2 7	0.6904	0.4444	0.6250	1.0000	0.7290
22 17 10	0.6898	0.5000	0.5000	1.0000	0.7205
5 16 24	0.6898	0.4545	1.0000	0.8027	0.7209
29 15 6	0.6892	0.5000	0.5000	1.0000	0.7192
2 2 26	0.6892	0.4000	0.6154	0.8279	0.8335
47 1 3	0.6877	0.4444	0.6250	1.0000	0.7228
17 5 21	0.6872	0.3333	1.0000	0.8942	0.7535
19 12 18	0.6854	0.5000	0.8750	0.7969	0.7128
35 5 10	0.6852	0.4444	0.6250	1.0000	0.7169
42 7 3	0.6839	0.4444	0.6250	1.0000	0.7138
11 7 18	0.6837	0.3846	0.8000	0.7967	0.8014
36 1 13	0.6834	0.4444	0.6250	1.0000	0.7128
46 6 1	0.6823	0.4444	0.6250	1.0000	0.7101
20 16 11	0.6815	0.5000	0.5000	0.9280	0.7329
2 9 21	0.6807	0.4000	0.6154	0.8093	0.8218
41 8 4	0.6802	0.4444	0.6250	1.0000	0.7052
21 6 18	0.6802	0.3636	0.8750	0.9000	0.7439
1 2 34	0.6800	0.4000	0.6154	0.9234	0.7697
32 13 8	0.6796	0.5000	0.5000	1.0000	0.6967
22 11 18	0.6794	0.3333	1.0000	0.9720	0.7009
5 5 10	0.6788	0.2222	0.3750	0.9654	0.9200
29 12 12	0.6781	0.5000	0.5000	1.0000	0.6933
3 12 21	0.6767	0.3571	0.7273	0.8616	0.7913
2 12 9	0.6762	0.2222	0.3750	1.0000	0.8988
21 19 13	0.6756	0.5000	0.5000	1.0000	0.6875
26 2 18	0.6755	0.3636	0.8750	0.8956	0.7350
46 6 3	0.6754	0.4444	0.6250	1.0000	0.6940
36 13 6	0.6752	0.5000	0.5000	1.0000	0.6865
17 5 18	0.6751	0.3846	0.8000	0.8047	0.7778
25 18 11	0.6748	0.5000	0.5000	1.0000	0.6856
4 9 27	0.6736	0.4000	0.6154	0.9142	0.7591
