Path 3
x y z	Score	Similarity	LengthDiff	Robustness
41 44 21	0.7922	0.7222	0.9375	0.8029
45 49 39	0.7833	0.7368	0.8333	0.8484
19 41 43	0.7738	0.7368	0.8333	0.8012
43 47 21	0.7662	0.6667	1.0000	0.7476
28 39 35	0.7523	0.6842	0.8824	0.7771
43 50 50	0.7516	0.6842	0.8824	0.7733
34 34 44	0.7501	0.6842	0.8824	0.7658
46 48 50	0.7461	0.6316	0.9375	0.8217
46 44 22	0.7442	0.6111	0.9333	0.8736
44 43 42	0.7354	0.6316	0.9375	0.7683
30 35 39	0.7316	0.6316	0.9375	0.7494
44 31 32	0.7313	0.6316	0.9375	0.7478
27 43 48	0.7307	0.5789	1.0000	0.8114
39 47 30	0.7212	0.5789	1.0000	0.7641
30 34 48	0.7169	0.5789	1.0000	0.7422
34 37 21	0.7095	0.6111	0.9333	0.7002
3 49 36	0.7042	0.5500	0.9375	0.8367
6 46 48	0.6959	0.5000	1.0000	0.8544
30 47 37	0.6941	0.6667	0.6667	0.8039
23 43 32	0.6932	0.6667	0.6667	0.7993
40 45 21	0.6818	0.5556	0.8667	0.7980
38 34 44	0.6806	0.5263	0.9333	0.7890
22 45 38	0.6798	0.5263	0.9333	0.7849
31 49 19	0.6782	0.5882	0.8000	0.7733
33 38 34	0.6723	0.5263	0.9333	0.7474
40 37 49	0.6717	0.5263	0.9333	0.7442
41 41 25	0.6702	0.5556	0.8667	0.7397
21 38 46	0.6473	0.6000	0.6000	0.8365
35 33 33	0.6441	0.6000	0.6000	0.8205
9 50 35	0.6438	0.5625	0.6667	0.8389
15 43 49	0.6432	0.6000	0.6000	0.8161
13 43 37	0.6418	0.6000	0.6000	0.8089
2 33 46	0.6397	0.4500	0.9333	0.7943
10 43 37	0.6392	0.6000	0.6000	0.7960
10 44 44	0.6325	0.6000	0.6000	0.7625
25 36 33	0.6317	0.4737	0.8667	0.7727
42 40 21	0.6264	0.5000	0.8000	0.7572
36 24 39	0.6246	0.4737	0.8667	0.7370
1 34 46	0.6246	0.4500	0.9333	0.7188
39 35 33	0.6185	0.6000	0.6000	0.6923
19 40 21	0.6172	0.5000	0.8000	0.7110
38 31 33	0.6080	0.6000	0.6000	0.6399
4 42 22	0.5935	0.4211	0.8000	0.8097
19 49 26	0.5920	0.4211	0.8000	0.8019
7 32 34	0.5885	0.4000	0.8667	0.7591
10 39 36	0.5837	0.5333	0.5333	0.7851
12 49 23	0.5800	0.4706	0.6667	0.7725
12 40 35	0.5800	0.5333	0.5333	0.7666
23 37 34	0.5790	0.5333	0.5333	0.7618
21 45 25	0.5776	0.5333	0.5333	0.7547
31 47 20	0.5739	0.5333	0.5333	0.7363
8 38 26	0.5717	0.4211	0.8000	0.7008
26 7 26	0.5658	0.3182	0.9333	0.7871
16 31 46	0.5607	0.4211	0.8000	0.6454
18 17 22	0.5532	0.3182	0.9333	0.7242
23 13 37	0.5483	0.3810	0.9333	0.5270
16 19 39	0.5460	0.3478	0.9375	0.6017
28 3 25	0.5419	0.3333	0.8667	0.7097
28 47 19	0.5404	0.4667	0.4667	0.8354
32 28 36	0.5401	0.3684	0.7333	0.7708
30 23 42	0.5381	0.3684	0.7333	0.7609
24 27 43	0.5351	0.3684	0.7333	0.7459
17 50 19	0.5350	0.4667	0.4667	0.8082
12 48 28	0.5269	0.4667	0.4667	0.7681
14 41 28	0.5229	0.4667	0.4667	0.7481
37 32 30	0.5211	0.4667	0.4667	0.7391
23 29 48	0.5128	0.3684	0.7333	0.6344
32 15 42	0.5123	0.2857	0.8000	0.7760
50 12 40	0.5061	0.2857	0.8000	0.7450
21 36 19	0.5049	0.4118	0.6000	0.6423
5 21 41	0.4982	0.3000	0.7333	0.7492
1 19 35	0.4944	0.2083	0.9333	0.7326
36 26 27	0.4924	0.3158	0.6667	0.7601
41 38 16	0.4912	0.4118	0.6000	0.5739
42 22 42	0.4895	0.3158	0.6667	0.7456
22 25 46	0.4883	0.3158	0.6667	0.7396
44 29 34	0.4880	0.3158	0.6667	0.7384
36 4 45	0.4873	0.2273	0.8000	0.8115
4 5 43	0.4842	0.1600	0.9333	0.8144
46 28 25	0.4786	0.3333	0.6000	0.7263
10 30 31	0.4772	0.3889	0.6667	0.4831
18 19 47	0.4770	0.2174	0.8667	0.7039
35 5 28	0.4767	0.2273	0.8000	0.7584
30 14 32	0.4718	0.2381	0.7333	0.7877
42 10 40	0.4701	0.2381	0.7333	0.7789
41 1 38	0.4691	0.2273	0.8000	0.7205
28 10 37	0.4680	0.2381	0.7333	0.7687
45 46 8	0.4667	0.3333	0.3333	1.0000
35 18 23	0.4583	0.2381	0.7333	0.7202
29 12 31	0.4573	0.2381	0.7333	0.7152
29 18 47	0.4524	0.2778	0.5333	0.8314
40 16 23	0.4518	0.2381	0.7333	0.6875
11 23 26	0.4491	0.3333	0.6000	0.5788
12 45 17	0.4417	0.3750	0.4667	0.5937
